loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score
0.20554016530513763,0.9382960796356201,[0.96815056 0.0149204 ],0.22073012590408325,0.9377309083938599,[0.96786493 0.        ]
0.1619551181793213,0.9468520879745483,[0.9722808 0.3568004],0.21848267316818237,0.9396777749061584,[0.9687158  0.15988041]
0.15846499800682068,0.9485626816749573,[0.9731384  0.39555436],0.21826007962226868,0.942899763584137,[0.97038764 0.20411095]
0.15521861612796783,0.9495599269866943,[0.9736846  0.39410904],0.20982205867767334,0.9417814016342163,[0.9698326  0.17007343]
0.15351490676403046,0.9496604204177856,[0.97373    0.39897814],0.2106885313987732,0.9416139721870422,[0.96975446 0.16111523]
0.15320813655853271,0.9498843550682068,[0.97383326 0.4087114 ],0.20719364285469055,0.9423609972000122,[0.97012657 0.18308489]
0.1513732522726059,0.9504693746566772,[0.97414094 0.41447437],0.20771773159503937,0.9420068264007568,[0.96995026 0.17265351]
0.15028071403503418,0.9509115815162659,[0.9743628  0.42432952],0.21330276131629944,0.9419187903404236,[0.96991336 0.16472185]
0.1498936414718628,0.9508670568466187,[0.9743286  0.42926702],0.2129000425338745,0.9420304298400879,[0.9699716  0.16596664]
0.14827387034893036,0.9508667588233948,[0.9743107  0.43783894],0.20250555872917175,0.9426572322845459,[0.9702644  0.19893247]
